id_vaga,tool
30545670,PYTHON
29944979,GCP
29935939,AZURE
29935939,IAGEN
30448169,SCIKIT-LEARN
30448169,IA
30448169,GENERATIVA
30448169,LEARNING
30448169,TENSORFLOW
30448169,PYTHON
30529648,SNOWFLAKE
30529648,AZURE
30529648,SQL
30529648,AWS
30529648,SCALA
30529648,QLIK
30529648,GCP
30529648,PYSPARK
30529648,JAVA
30529648,KAFKA
30529648,NOSQL
30529648,ALTERYX
30529648,TABLEAU
30529648,DATABRICKS
30529648,PYTHON
30529648,AIRFLOW
30637204,EXCEL
30637204,LOOKER
30637204,TABLEAU
30636072,SQL
30332603,SQL
30332603,EXCEL
30332603,SAS
30332603,TABLEAU
30332603,PYTHON
29498509,LEARNING
29498509,TABLEAU
30119445,SQL
30119445,TABLEAU
29797488,EXCEL
30600653,EXCEL
30600653,SQL
30537053,AZURE
30537053,LINUX
30537053,REST
30537053,DOCKER
30537053,PYTHON
30537053,KUBERNETES
30537053,TENSORFLOW
30537053,OPENCV
30533932,AWS
30533932,IA
30526083,EXCEL
30482641,SQL
30482641,R
30482641,SPARK
30482641,TABLEU
30482641,PYTHON
30532983,AWS
30532983,REST
30532983,DOCKER
30532983,PYTHON
30532983,DYNATRACE
30532983,DATADOG
30532983,MYSQL
30532983,KUBERNETES
30532983,TERRAFORM
30532983,API
30532983,GRAFANA
30105314,GRAFANA
30068515,EXCEL
30645464,EXCEL
30626344,EXCEL
30626344,SQL
30626344,PYTHON
30662308,SQL
30034414,AWS
30034414,SQL
30034414,TERRAFORM
30034414,REDSHIFT
30034414,DATABRICKS
30034414,PYTHON
30034414,AIRFLOW
30531629,AZURE
30531629,SQL
30531629,R
30531629,DATABRICKS
30531629,PYTHON
30536163,AZURE
30536163,DEEP
30536163,REST
30536163,DOCKER
30536163,KUBERNETES
30536163,IA
30536163,GENERATIVA
30536163,LEARNING
30536163,TENSORFLOW
30536163,PYTHON
30412206,SQL
30412206,C
30412206,POSTGRESQL
30412206,JAVA
30412206,LEARNING
30412206,PYTHON
30673488,EXCEL
30673488,SQL
30673488,PYTHON
30673488,R
30211867,EXCEL
30669654,EXCEL
30669654,SQL
30669654,PYTHON
30672028,SCALA
30672028,PYTHON
30672028,JAVA
30672028,NOSQL
30672028,KAFKA
30672028,AIRFLOW
30176792,POWERBI
30176792,SQL
30176792,PYTHON
30176792,POSTGRESQL
30176792,GCP
30176792,MYSQL
30176792,KAFKA
30176792,AIRFLOW
30410002,POWERBI
30410002,SQL
30410002,ML
30534175,SQL
30534175,HADOOP
30534175,NUMPY
30534175,R
30534175,SPARK
30534175,TABLEAU
30534175,PANDAS
30643233,EXCEL
30504393,SQL
30504393,QLIK
30504393,MYSQL
30504393,R
30504393,TABLEAU
30504393,PYTHON
30303863,SQL
30303863,EXCEL
30303863,R
30303863,LEARNING
30303863,TABLEAU
30303863,PYTHON
30206450,C
30206450,R
30206450,GENERATIVA
30206450,C#
30206450,LEARNING
30206450,PYTHON
30044693,AWS
30044693,GENERATIVA
30044693,IA
30426037,EXCEL
30426037,SQL
30537096,AWS
30537096,DATABRICKS
30533449,SQL
30533449,IA
30533449,GIT
30533449,BIGQUERY
30533449,R
30533449,LOOKER
30533449,LEARNING
30533449,SAS
30533449,TABLEU
30533449,PANDAS
30533449,PYTHON
30111581,EXCEL
30111581,SQL
30260870,QLIKVIEW
30260870,SQL
30260870,TABLEAU
30085084,AZURE
30085084,AWS
30085084,GCP
30085084,PYTHON
30085084,AIRFLOW
29866663,SQL
29866663,DATABRICKS
29864414,SCALA
29864414,HADOOP
29864414,JAVA
29864414,SPARK
29864414,PYTHON
29864414,KAFKA
30108686,EXCEL
30078156,EXCEL
30078156,TABLEAU
30354457,EXCEL
30306904,QLIKVIEW
30306904,EXCEL
30306904,TABLEAU
30306904,PYTHON
30525263,SQL
30121426,EXCEL
30353246,EXCEL
30468389,AWS
30468389,SQL
30468389,HADOOP
30468389,PYSPARK
30468389,SPARK
30468389,NOSQL
30468389,LEARNING
30468389,REDSHIFT
30468389,PANDAS
30468389,PYTHON
30468389,KAFKA
30031903,SQL
30031903,MATPLOTLIB
30031903,SEABORN
30031903,PLOTLY
30031903,NUMPY
30031903,SCIKIT-LEARN
30031903,PANDAS
30031903,PYTHON
30199048,EXCEL
30199048,IA
29923719,AZURE
29923719,AIRFLOW
29923719,SQL
29923719,AWS
29923719,POSTGRESQL
29923719,CASSANDRA
29923719,REDSHIFT
29923719,MONGODB
29923719,KAFKA
